,artist,track_number,id,name,uri,release_date,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,owner,date_till_now
10,縱貫線,5,7g15dRpgfhFcWA6EBd0p1a,給自己的歌,spotify:track:7g15dRpgfhFcWA6EBd0p1a,2010-01-01,278615,33,0.37,0.518,0.467,5.84e-06,0.125,-6.261,0.0417,140.059,0.149,1,Sum,10.70958904109589
11,Jonathan Lee,24,4P2mpayhrPU7EMl78OBZQF,當愛已成往事,spotify:track:4P2mpayhrPU7EMl78OBZQF,2007-09-28,291589,0,0.676,0.352,0.459,0.0,0.979,-8.688,0.0579,123.766,0.245,1,Sum,12.972602739726028
12,陳粒,3,3QxWTqyIT4O9bokIZlNDpo,小半,spotify:track:3QxWTqyIT4O9bokIZlNDpo,2016-07-26,297240,55,0.182,0.555,0.4,0.0,0.0767,-8.211,0.0393,164.952,0.374,1,Sum,4.13972602739726
13,陳粒,8,3OWTiOvc1numNmjqpKfq3V,易燃易爆炸,spotify:track:3OWTiOvc1numNmjqpKfq3V,2015-02-02,202346,49,0.945,0.658,0.338,6.46e-05,0.11,-9.179,0.0525,115.129,0.11,0,Sum,5.619178082191781
14,陳粒,14,0cMCCfgXNvzpn9AgFJib76,走马,spotify:track:0cMCCfgXNvzpn9AgFJib76,2015-02-02,237546,40,0.892,0.608,0.424,0.00238,0.0909,-8.638,0.0345,139.748,0.218,1,Sum,5.619178082191781
15,Faye Wong,1,3z4leqkfSaXQPAyGwQruTe,匆匆那年,spotify:track:3z4leqkfSaXQPAyGwQruTe,2014-11-07,241000,51,0.954,0.547,0.343,0.00112,0.113,-10.475,0.0301,127.977,0.401,0,Sum,5.857534246575343
16,Faye Wong,1,0tlDH6UX4Bq9kG5rPWaiaF,我願意 - 管弦樂版,spotify:track:0tlDH6UX4Bq9kG5rPWaiaF,1994-01-01,270666,44,0.939,0.275,0.306,0.00116,0.111,-9.448,0.0334,117.513,0.168,1,Sum,26.720547945205478
17,Claire Kuo,3,0FjrLvldGA3kiwLBxv2PSD,心牆,spotify:track:0FjrLvldGA3kiwLBxv2PSD,2009-05-22,226920,51,0.762,0.7,0.62,0.0,0.0965,-5.072,0.043,123.879,0.338,1,Sum,11.323287671232876
18,Claire Kuo,1,0WPWV03zSzOk5oUAmfXVGW,下一個天亮 - 第一波 / 韓劇家有七公主片尾曲,spotify:track:0WPWV03zSzOk5oUAmfXVGW,2008-05-09,266185,45,0.556,0.53,0.486,0.0,0.145,-7.245,0.0287,121.836,0.202,1,Sum,12.35890410958904
19,Hebe Tien,1,1ZeVIrCWzEmsJexkrgvjFv,小幸運,spotify:track:1ZeVIrCWzEmsJexkrgvjFv,2015-07-10,265521,63,0.75,0.519,0.412,0.0,0.101,-8.584,0.0365,157.916,0.506,1,Sum,5.186301369863013
20,Mayday,1,0WzdHebEnoKHlTxq5x2e67,私奔到月球,spotify:track:0WzdHebEnoKHlTxq5x2e67,2007-07-20,226786,51,0.376,0.513,0.681,0.0,0.0768,-4.501,0.0556,184.274,0.616,1,Sum,13.164383561643836
21,Cheer Chen,1,0kcYzEvagMWsp9wL6RxW90,旅行的意義,spotify:track:0kcYzEvagMWsp9wL6RxW90,2005-09-24,256706,49,0.38,0.525,0.516,0.0,0.365,-7.931,0.0299,137.973,0.249,1,Sum,14.983561643835616
22,Cheer Chen,4,3LQ0RDsFVMYrUfPYOgncCh,台北某個地方,spotify:track:3LQ0RDsFVMYrUfPYOgncCh,2018-12-24,256026,49,0.89,0.479,0.434,1.02e-06,0.109,-6.624,0.0346,133.472,0.206,1,Sum,1.726027397260274
23,Cheer Chen,2,3Sk5vML32xkCFsysfuvNYl,我喜歡上你時的内心活動,spotify:track:3Sk5vML32xkCFsysfuvNYl,2017-05-16,205973,46,0.765,0.347,0.333,0.000114,0.0947,-10.876,0.0359,145.245,0.297,1,Sum,3.334246575342466
24,Cheer Chen,4,0tCChyNux8WLRr7UhAw2Ja,魚,spotify:track:0tCChyNux8WLRr7UhAw2Ja,2009-01-22,300186,45,0.84,0.501,0.382,0.0,0.076,-7.747,0.032,137.752,0.259,1,Sum,11.652054794520549
25,Sodagreen,11,7pXAAVTIxbuTtgq5dM1lW4,你在煩惱什麼,spotify:track:7pXAAVTIxbuTtgq5dM1lW4,2011-11-11,275200,38,0.833,0.568,0.305,0.0,0.0797,-9.185,0.0433,72.877,0.23,1,Sum,8.849315068493151
26,Sodagreen,3,0roIOt1l3otYmaSEDzsHxw,小情歌,spotify:track:0roIOt1l3otYmaSEDzsHxw,2006-01-01,273573,0,0.785,0.524,0.525,0.0,0.0809,-9.274,0.0316,132.108,0.254,1,Sum,14.712328767123287
27,JJ Lin,3,53WV5mAY2opmFC0r0LjRdM,小酒窩,spotify:track:53WV5mAY2opmFC0r0LjRdM,2008-10-18,218026,57,0.732,0.637,0.442,0.0,0.127,-6.073,0.0254,95.201,0.338,1,Sum,11.915068493150685
28,Eason Chan,6,2AllsVsmrJkEwXPXwDBCQu,單車,spotify:track:2AllsVsmrJkEwXPXwDBCQu,2001-03-28,211251,53,0.754,0.635,0.35,0.0,0.0743,-10.591,0.0284,130.067,0.307,1,Sum,19.47945205479452
29,Jay Chou,8,1ivCIgrYZyE0BvItL4Z8lk,告白氣球,spotify:track:1ivCIgrYZyE0BvItL4Z8lk,2016-06-24,215146,65,0.192,0.59,0.572,0.0,0.109,-7.658,0.0379,179.989,0.448,1,Sum,4.227397260273973
30,Andrew Tan,10,4D0KlK4Fl8lotvsoys1bYQ,天后,spotify:track:4D0KlK4Fl8lotvsoys1bYQ,2011-11-11,289400,56,0.199,0.46,0.643,0.0,0.0917,-5.903,0.0309,160.044,0.286,1,Sum,8.849315068493151
31,宋冬野,4,2M6vMxGBuWv3IeRhNsEYIm,董小姐,spotify:track:2M6vMxGBuWv3IeRhNsEYIm,2013-08-30,310213,48,0.779,0.597,0.229,8.45e-06,0.111,-13.48,0.031,114.081,0.303,1,Sum,7.046575342465753
32,Di Ma,3,3f5VXZ7kniKqqUJezj6hOK,南山南,spotify:track:3f5VXZ7kniKqqUJezj6hOK,2014-11-25,325000,49,0.873,0.609,0.0841,1.69e-06,0.155,-16.387,0.0323,129.88,0.209,1,Sum,5.808219178082192
